site,management,transect,rep.day,rep.cam,harding.cover,exotic.plant.cover,bare.cover,animal.sign,taxa,method,abundance,diversity,sample.time,rate.hr
RM,tilled.planted,1,1,1.1,0,70,30,1,vertebrates,cams,2,1,16,0.125
RM,tilled.planted,1,1,1.2,70,25,5,1,vertebrates,cams,3,1,16,0.1875
RM,tilled.planted,1,1,1.3,10,85,5,1,vertebrates,cams,0,0,16,0
RM,tilled.planted,1,1,1.4,60,10,30,1,vertebrates,cams,0,0,16,0
RM,tilled.planted,1,1,1.5,2,58,40,1,vertebrates,cams,3,1,16,0.1875
RM,tilled.planted,1,1,1.6,5,25,70,1,vertebrates,cams,2,1,16,0.125
RM,tilled.planted,1,1,1.7,30,65,5,1,vertebrates,cams,3,1,16,0.1875
RM,tilled.planted,1,1,1.8,50,40,10,1,vertebrates,cams,1,1,16,0.0625
RM,untilled.unplanted,2,1,2.1,0,100,0,1,vertebrates,cams,0,0,16,0
RM,untilled.unplanted,2,1,2.2,0,100,0,1,vertebrates,cams,2,1,16,0.125
RM,untilled.unplanted,2,1,2.3,0,95,5,1,vertebrates,cams,1,1,16,0.0625
RM,untilled.unplanted,2,1,2.4,0,60,40,1,vertebrates,cams,0,0,16,0
RM,untilled.unplanted,2,1,2.5,0,100,0,1,vertebrates,cams,2,1,16,0.125
RM,untilled.unplanted,2,1,2.6,0,95,5,1,vertebrates,cams,0,0,16,0
RM,untilled.unplanted,2,1,2.7,0,95,5,1,vertebrates,cams,0,0,16,0
RM,untilled.unplanted,2,1,2.8,0,100,0,1,vertebrates,cams,0,0,16,0
FR,untilled.unplanted,1,1,3.1,0,70,30,1,vertebrates,cams,1,1,16,0.0625
FR,untilled.unplanted,1,1,3.2,0,100,0,1,vertebrates,cams,1,1,16,0.0625
FR,untilled.unplanted,1,1,3.3,0,60,40,1,vertebrates,cams,5,2,16,0.3125
FR,untilled.unplanted,1,1,3.4,0,70,30,1,vertebrates,cams,2,2,16,0.125
FR,untilled.unplanted,1,1,3.5,0,100,0,1,vertebrates,cams,1,1,16,0.0625
FR,untilled.unplanted,1,1,3.6,0,60,40,1,vertebrates,cams,5,2,16,0.3125
FR,untilled.unplanted,1,1,3.7,0,95,5,1,vertebrates,cams,1,2,16,0.0625
FR,untilled.unplanted,1,1,3.8,0,85,15,1,vertebrates,cams,5,2,16,0.3125
FR,untilled.unplanted,2,1,4.1,0,30,70,1,vertebrates,cams,3,1,16,0.1875
FR,untilled.unplanted,2,1,4.2,0,90,10,1,vertebrates,cams,4,1,16,0.25
FR,untilled.unplanted,2,1,4.3,0,50,40,0,vertebrates,cams,0,0,16,0
FR,untilled.unplanted,2,1,4.4,0,100,0,1,vertebrates,cams,2,1,16,0.125
FR,untilled.unplanted,2,1,4.5,0,85,15,1,vertebrates,cams,2,1,16,0.125
FR,untilled.unplanted,2,1,4.6,0,45,15,0,vertebrates,cams,0,0,16,0
FR,untilled.unplanted,2,1,4.7,0,80,5,1,vertebrates,cams,1,1,16,0.0625
FR,untilled.unplanted,2,1,4.8,0,50,5,1,vertebrates,cams,1,1,16,0.0625
RM,tilled.planted,1,2,1.1,35,40,25,1,vertebrates,cams,2,1,16,0.125
RM,tilled.planted,1,2,1.2,10,88,2,1,vertebrates,cams,1,1,16,0.0625
RM,tilled.planted,1,2,1.3,20,10,70,1,vertebrates,cams,3,1,16,0.1875
RM,tilled.planted,1,2,1.4,70,20,10,1,vertebrates,cams,1,1,16,0.0625
RM,tilled.planted,1,2,1.5,70,30,0,1,vertebrates,cams,2,1,16,0.125
RM,tilled.planted,1,2,1.6,15,80,5,1,vertebrates,cams,2,1,16,0.125
RM,tilled.planted,1,2,1.7,60,20,20,1,vertebrates,cams,3,1,16,0.1875
RM,tilled.planted,1,2,1.8,25,65,10,1,vertebrates,cams,1,1,16,0.0625
RM,untilled.unplanted,2,2,2.1,0,75,25,1,vertebrates,cams,6,1,16,0.375
RM,untilled.unplanted,2,2,2.2,0,100,0,1,vertebrates,cams,2,1,16,0.125
RM,untilled.unplanted,2,2,2.3,0,80,20,1,vertebrates,cams,4,1,16,0.25
RM,untilled.unplanted,2,2,2.4,0,70,30,1,vertebrates,cams,3,1,16,0.1875
RM,untilled.unplanted,2,2,2.5,0,93,7,1,vertebrates,cams,2,1,16,0.125
RM,untilled.unplanted,2,2,2.6,0,75,25,1,vertebrates,cams,3,1,16,0.1875
RM,untilled.unplanted,2,2,2.7,0,97,3,1,vertebrates,cams,2,1,16,0.125
RM,untilled.unplanted,2,2,2.8,0,95,5,1,vertebrates,cams,3,1,16,0.1875
FR,untilled.unplanted,1,2,3.1,0,100,0,1,vertebrates,cams,3,2,16,0.1875
FR,untilled.unplanted,1,2,3.2,0,80,20,0,vertebrates,cams,1,1,16,0.0625
FR,untilled.unplanted,1,2,3.3,0,100,0,1,vertebrates,cams,0,0,16,0
FR,untilled.unplanted,1,2,3.4,0,90,5,1,vertebrates,cams,3,2,16,0.1875
FR,untilled.unplanted,1,2,3.5,0,100,0,1,vertebrates,cams,4,2,16,0.25
FR,untilled.unplanted,1,2,3.6,0,95,5,1,vertebrates,cams,5,3,16,0.3125
FR,untilled.unplanted,1,2,3.7,0,95,0,1,vertebrates,cams,0,0,16,0
FR,untilled.unplanted,1,2,3.8,0,95,5,0,vertebrates,cams,2,1,16,0.125
FR,untilled.unplanted,2,2,4.1,0,90,10,1,vertebrates,cams,1,1,16,0.0625
FR,untilled.unplanted,2,2,4.2,0,85,15,1,vertebrates,cams,2,2,16,0.125
FR,untilled.unplanted,2,2,4.3,0,40,10,1,vertebrates,cams,1,1,16,0.0625
FR,untilled.unplanted,2,2,4.4,0,100,0,0,vertebrates,cams,3,2,16,0.1875
FR,untilled.unplanted,2,2,4.5,0,100,0,1,vertebrates,cams,2,2,16,0.125
FR,untilled.unplanted,2,2,4.6,0,50,25,1,vertebrates,cams,1,1,16,0.0625
FR,untilled.unplanted,2,2,4.7,0,70,30,1,vertebrates,cams,2,2,16,0.125
FR,untilled.unplanted,2,2,4.8,0,50,30,1,vertebrates,cams,5,3,16,0.3125
RM,tilled.planted,1,3,1.1,25,70,5,1,vertebrates,cams,2,2,16,
RM,tilled.planted,1,3,1.2,40,60,0,1,vertebrates,cams,2,1,16,
RM,tilled.planted,1,3,1.3,50,50,0,1,vertebrates,cams,2,1,16,
RM,tilled.planted,1,3,1.4,30,65,5,1,vertebrates,cams,2,1,16,
RM,tilled.planted,1,3,1.5,30,10,60,1,vertebrates,cams,2,2,16,
RM,tilled.planted,1,3,1.6,90,5,5,1,vertebrates,cams,7,2,16,
RM,tilled.planted,1,3,1.7,80,20,0,1,vertebrates,cams,7,2,16,
